Name,observacoes,primeira_data,ultima_data,preco_usado_medio_usd,preco_usado_minimo_usd,preco_usado_maximo_usd,preco_varejo_medio_usd,consumo_w,vram_gb,pontuacao_3dmark,preco_por_ponto_3dmark,ranking_custo_beneficio
Radeon RX 580,26,2022-11-01,2024-12-01,66.42307692307692,52,193,121.08,185.0,8.0,4346,0.015283726857587878,1
GeForce GTX 1660 SUPER,26,2022-11-01,2024-12-01,105.46153846153847,74,203,222.42307692307693,125.0,6.0,6078,0.01735135545599514,2
GeForce GTX 1060,26,2022-11-01,2024-12-01,73.6923076923077,50,197,290.9375,120.0,6.0,4215,0.017483347020713566,3
Radeon RX 6600 XT,26,2022-11-01,2024-12-01,178.46153846153845,144,266,398.8076923076923,160.0,8.0,9707,0.018384829345991397,4
Radeon R9 380,18,2023-03-01,2024-12-01,50.77777777777778,49,61,268.29411764705884,190.0,4.0,2754,0.018437827806019533,5
GeForce GTX 1660 Ti,26,2022-11-01,2024-12-01,118.07692307692308,94,207,305.3076923076923,120.0,6.0,6373,0.018527682892973962,6
GeForce RTX 2060,26,2022-11-01,2024-12-01,145.1153846153846,113,199,320.0769230769231,160.0,6.0,7601,0.019091617499721693,7
Radeon RX 6600,26,2022-11-01,2024-12-01,156.19230769230768,130,214,216.69230769230768,132.0,8.0,8158,0.01914590680219511,8
Radeon RX 6500 XT,26,2022-11-01,2024-12-01,96.1923076923077,77,136,168.42307692307693,107.0,4.0,4973,0.019342913270120183,9
Radeon RX 6700 XT,26,2022-11-01,2024-12-01,259.4230769230769,212,296,517.3846153846154,230.0,12.0,12808,0.020254768654206508,10
GeForce RTX 2080 Ti,26,2022-11-01,2024-12-01,303.15384615384613,222,418,1271.3333333333333,250.0,11.0,14628,0.020724216991649315,11
GeForce RTX 3070,26,2022-11-01,2024-12-01,283.5,228,353,491.2307692307692,220.0,8.0,13663,0.02074946936983093,12
GeForce RTX 3060 Ti,26,2022-11-01,2024-12-01,243.8846153846154,151,302,413.2692307692308,200.0,8.0,11744,0.020766741773213162,13
Radeon RX 6800 XT,26,2022-11-01,2024-12-01,415.6923076923077,295,538,683.84,300.0,16.0,19187,0.02166531024612017,14
Radeon RX 6800,26,2022-11-01,2024-12-01,353.0769230769231,305,429,450.9230769230769,250.0,16.0,15972,0.022105993180373342,15
Radeon RX 7600,17,2023-08-01,2024-12-01,242.35294117647058,192,422,255.94117647058823,165.0,8.0,10817,0.02240482029920224,16
GeForce RTX 3080,26,2022-11-01,2024-12-01,404.84615384615387,335,546,771.1153846153846,320.0,10.0,17656,0.022929664354675677,17
Radeon RX 6650 XT,26,2022-11-01,2024-12-01,233.23076923076923,190,375,250.84615384615384,176.0,8.0,10027,0.023260274182783404,18
Radeon RX 7700 XT,13,2023-12-01,2024-12-01,401.53846153846155,347,462,402.6923076923077,245.0,12.0,17245,0.023284341057608668,19
GeForce RTX 3070 Ti,26,2022-11-01,2024-12-01,349.65384615384613,286,468,579.2692307692307,290.0,8.0,14831,0.023575877968703803,20
GeForce GTX 1650,26,2022-11-01,2024-12-01,83.92307692307692,50,198,147.42307692307693,75.0,4.0,3552,0.02362699237699238,21
Radeon RX 6900 XT,26,2022-11-01,2024-12-01,490.4230769230769,331,684,1074.5384615384614,300.0,16.0,20621,0.023782700980703016,22
Radeon RX 7800 XT,14,2023-10-01,2024-12-01,476.7142857142857,425,544,491.92857142857144,263.0,16.0,19839,0.02402914893463812,23
Radeon RX 7900 GRE,9,2024-04-01,2024-12-01,538.4444444444445,482,649,542.4444444444445,260.0,16.0,21644,0.02487730754224933,24
GeForce RTX 4060 Ti,16,2023-09-01,2024-12-01,344.0,293,394,380.4375,160.0,8.0,13462,0.02555340959738523,25
Radeon RX 6750 XT,26,2022-11-01,2024-12-01,347.5,278,496,371.4230769230769,250.0,12.0,13595,0.025560867966164025,26
GeForce RTX 3060,26,2022-11-01,2024-12-01,225.26923076923077,198,272,299.2307692307692,170.0,12.0,8739,0.025777460895895502,27
GeForce RTX 3080 Ti,26,2022-11-01,2024-12-01,549.3076923076923,423,818,1124.0,350.0,12.0,19592,0.028037346483651103,28
GeForce GTX 1050 Ti,18,2023-03-01,2024-12-01,66.22222222222223,57,80,190.5,75.0,4.0,2356,0.028107904169024717,29
GeForce RTX 4060,16,2023-09-01,2024-12-01,301.25,258,585,293.4375,115.0,8.0,10630,0.028339604891815615,30
Radeon RX 7900 XT,24,2023-01-01,2024-12-01,728.9583333333334,596,1213,770.0,315.0,20.0,25617,0.0284560383078945,31
GeForce GTX 1050,18,2023-03-01,2024-12-01,53.27777777777778,51,62,224.88888888888889,75.0,2.0,1861,0.02862857484028896,32
GeForce RTX 4070,20,2023-05-01,2024-12-01,511.3,369,730,554.8,200.0,12.0,17846,0.028650678023086407,33
Radeon RX 560,18,2023-03-01,2024-12-01,53.77777777777778,50,68,180.22222222222223,80.0,4.0,1860,0.028912783751493414,34
GeForce RTX 4070 SUPER,10,2024-03-01,2024-12-01,621.0,529,994,589.8,220.0,12.0,21214,0.0292731215235222,35
GeForce RTX 3050,26,2022-11-01,2024-12-01,182.26923076923077,144,255,234.76923076923077,130.0,8.0,6205,0.029374573854831713,36
GeForce RTX 4070 Ti,23,2023-02-01,2024-12-01,667.4782608695652,484,810,780.3913043478261,285.0,12.0,22706,0.029396558657163972,37
Radeon RX 7900 XTX,24,2023-01-01,2024-12-01,879.375,677,1273,982.2083333333334,355.0,24.0,29246,0.030068214456677834,38
Radeon RX 7600 XT,10,2024-03-01,2024-12-01,346.0,250,533,315.3,190.0,16.0,11379,0.030406889884875648,39
Radeon RX 6400,26,2022-11-01,2024-12-01,116.57692307692308,100,138,146.5,53.0,4.0,3622,0.03218578770759886,40
GeForce RTX 4070 Ti SUPER,10,2024-03-01,2024-12-01,804.7,749,918,793.9,285.0,16.0,24426,0.032944403504462455,41
Radeon RX 460,18,2023-03-01,2024-12-01,60.111111111111114,58,73,230.7058823529412,75.0,4.0,1760,0.0341540404040404,42
GeForce RTX 3090,26,2022-11-01,2024-12-01,687.3461538461538,493,797,1583.04,350.0,24.0,19901,0.03453827213939771,43
GeForce RTX 4080 SUPER,10,2024-03-01,2024-12-01,1018.4,906,1267,1021.5,320.0,16.0,28531,0.03569450772843573,44
Radeon R7 360,18,2023-03-01,2024-12-01,53.111111111111114,41,55,146.0,100.0,2.0,1368,0.03882391163092917,45
Radeon RX 550,18,2023-03-01,2024-12-01,50.333333333333336,49,56,82.66666666666667,50.0,4.0,1195,0.04211994421199442,46
GeForce RTX 4090,25,2022-12-01,2024-12-01,1576.96,794,2119,1810.56,450.0,24.0,35966,0.04384585441806149,47
Radeon R9 370,18,2023-03-01,2024-12-01,95.05555555555556,60,151,217.94117647058823,150.0,4.0,1456,0.06528540903540903,48
