data,preco_usado_medio_usd,preco_varejo_medio_usd,quantidade_gpus
2022-11-01,348.84,495.6,25
2022-12-01,399.34615384615387,627.1538461538462,26
2023-01-01,425.35714285714283,635.8214285714286,28
2023-02-01,426.37931034482756,586.4137931034483,29
2023-03-01,329.6216216216216,508.1875,37
2023-04-01,313.2162162162162,492.8888888888889,37
2023-05-01,312.1578947368421,447.81081081081084,38
2023-06-01,303.10526315789474,445.7368421052632,38
2023-07-01,297.2894736842105,468.3783783783784,38
2023-08-01,291.28205128205127,456.42105263157896,39
2023-09-01,297.0975609756098,441.025,41
2023-10-01,284.23809523809524,449.9761904761905,42
2023-11-01,357.47058823529414,539.0,34
2023-12-01,362.8235294117647,542.5806451612904,34
2024-01-01,373.8857142857143,545.6666666666666,35
2024-02-01,362.9142857142857,552.969696969697,35
2024-03-01,349.6808510638298,511.75555555555553,47
2024-04-01,337.6875,491.5869565217391,48
2024-05-01,325.4791666666667,480.7173913043478,48
2024-06-01,313.125,491.24444444444447,48
2024-07-01,310.7916666666667,510.1489361702128,48
2024-08-01,307.375,509.0833333333333,48
2024-09-01,312.8125,516.3958333333334,48
2024-10-01,309.7291666666667,520.7446808510638,48
2024-11-01,311.2291666666667,493.6170212765957,48
2024-12-01,295.2708333333333,549.0833333333334,48
